变量,相关系数r,p值,显著性
社会联结感,0.6319523586712434,3.6341659231541205e-29,***
文化接触,0.6072628104479568,1.7465101354009048e-26,***
社会接触,0.5766864401295524,1.7993142991587623e-23,***
家庭支持,0.57562715409891,2.2588531035107602e-23,***
沟通坦诚度,0.31066132263862695,5.67990998313473e-07,***
家庭沟通频率,0.30448020097421696,9.72045635284794e-07,***
社会保持,0.28166429179039415,6.363203570085912e-06,***
文化保持,0.18309254294817318,0.003741621606600425,**
自主权,0.12340678052304743,0.05177876726902147,ns
开放性,0.013609609440573333,0.8307924591942697,ns
