变量,香港均值,法国均值,差异,t值,p值,显著性
跨文化适应程度,23.30666666666667,22.570281124497992,-0.7363855421686765,1.2750046055230106,0.20322681076184096,ns
文化保持,5.24,4.718875502008032,-0.521124497991968,2.506915489101548,0.01267124176471365,*
社会保持,4.72,4.534136546184739,-0.18586345381526037,0.8968686155809932,0.37045906840257986,ns
文化接触,4.213333333333333,4.096385542168675,-0.11694779116465792,0.5246237105906861,0.6002057789368961,ns
社会接触,3.88,4.132530120481928,0.2525301204819277,-1.1217828204215474,0.2627906211446483,ns
家庭支持,31.64,29.313253012048193,-2.3267469879518075,3.160536506044486,0.0017244044487401665,**
家庭沟通频率,3.1333333333333333,3.3654618473895583,0.23212851405622503,-1.675095250068568,0.09488635527007809,ns
沟通坦诚度,3.1866666666666665,3.281124497991968,0.09445783132530128,-0.6842287123775448,0.4943228934976392,ns
社会联结感,19.85333333333333,18.85542168674699,-0.997911646586342,1.4865040408497479,0.13812431651456297,ns
开放性,5.2,4.943775100401607,-0.25622489959839356,1.4814169606915752,0.13947337691781853,ns
