特征中文,香港重要性,法国重要性,差异,差异%
社会联结感,0.7325364445749496,0.10830981,0.6242266345749496,85.2
社会接触,0.6752778643911467,0.13537022,0.5399076443911467,80.0
文化接触,0.638471968680921,0.25290918,0.38556278868092103,60.4
开放性,0.3474305776377108,0.03526417,0.3121664076377108,89.9
家庭支持,0.3357984545413232,0.21568035,0.12011810454132318,35.8
文化保持,0.1438700026931684,0.0411955,0.10267450269316841,71.4
来港时长,0.1293573431853151,0.0,0.1293573431853151,100.0
家庭沟通频率,0.1081037774227926,0.042378154,0.0657256234227926,60.8
沟通坦诚度,0.0362314394447045,0.056645345,-0.0204139055552955,-56.3
社会保持,0.0272810566256209,0.01757512,0.0097059366256209,35.6
自主权,0.0116039146740938,0.03429766,-0.0226937453259062,-195.6
来法时长,0.0,0.060374428,-0.060374428,-inf
