feature1,feature2,feature1_cn,feature2_cn,r2,r2_improvement,coefficient
cultural_contact,openness,文化接触,开放性,0.742512615594445,0.029380955164925115,0.6432004312463409
cultural_contact,family_communication_frequency,文化接触,家庭沟通频率,0.7424107022745141,0.02927904184499419,-0.6349100037431704
family_support,openness,家庭支持,开放性,0.7365543316131689,0.023422671183648935,0.7214862230627943
cultural_contact,communication_honesty,文化接触,沟通坦诚度,0.7342208966800967,0.021089236250576793,-0.5479382143255431
family_communication_frequency,autonomy,家庭沟通频率,自主权,0.7339245596891715,0.020792899259651554,-0.5273954970428769
cultural_maintenance,social_connectedness,文化保持,社会联结感,0.7304320050087192,0.017300344579199267,-0.4975408489577027
cultural_contact,months_in_hk,文化接触,来港时长,0.7301339376598617,0.017002277230341756,-0.5867048791095458
family_communication_frequency,months_in_hk,家庭沟通频率,来港时长,0.7281054830274515,0.014973822597931563,-0.5748413100334234
social_contact,autonomy,社会接触,自主权,0.7261501342118806,0.013018473782360651,-0.485933413107157
communication_honesty,autonomy,沟通坦诚度,自主权,0.7257538120591818,0.012622151629661849,-0.33382330764657764
autonomy,openness,自主权,开放性,0.7253678541493497,0.012236193719829758,0.45225536413080825
cultural_maintenance,autonomy,文化保持,自主权,0.7252938301963939,0.01216216976687401,-0.32220281473316703
cultural_maintenance,openness,文化保持,开放性,0.7251509163979997,0.012019255968479747,0.3988376048173213
social_contact,social_connectedness,社会接触,社会联结感,0.7248051938458948,0.011673533416374893,0.4388441291517047
social_contact,months_in_hk,社会接触,来港时长,0.7239380122088884,0.010806351779368506,-0.5389775310319089
social_contact,openness,社会接触,开放性,0.7214346316267256,0.008302971197205689,0.3755092028016017
cultural_maintenance,months_in_hk,文化保持,来港时长,0.720112872823345,0.006981212393825098,-0.3295453704534115
family_communication_frequency,communication_honesty,家庭沟通频率,沟通坦诚度,0.7200935068755969,0.006961846446077002,0.28336730593245063
social_maintenance,family_support,社会保持,家庭支持,0.719792860191848,0.0066611997623280406,-0.2717273618062849
family_support,social_connectedness,家庭支持,社会联结感,0.7195874185705746,0.006455758141054702,-0.30616532017962883
family_support,autonomy,家庭支持,自主权,0.7190146849649988,0.005883024535478842,-0.19700265453044535
communication_honesty,months_in_hk,沟通坦诚度,来港时长,0.7179130311591524,0.0047813707296324726,-0.3513697088809241
social_maintenance,autonomy,社会保持,自主权,0.7178229591871884,0.004691298757668494,-0.24407114857715406
social_contact,communication_honesty,社会接触,沟通坦诚度,0.7172601099287117,0.0041284494991917775,-0.24376857947429215
family_communication_frequency,openness,家庭沟通频率,开放性,0.7170182522925745,0.0038865918630546226,-0.264382094659805
social_contact,family_communication_frequency,社会接触,家庭沟通频率,0.7169999842501029,0.0038683238205829973,-0.251165658853441
family_support,communication_honesty,家庭支持,沟通坦诚度,0.716362174941402,0.0032305145118820544,-0.17591024368929703
openness,months_in_hk,开放性,来港时长,0.7162174318160053,0.0030857713864853586,-0.2570280461442278
social_maintenance,openness,社会保持,开放性,0.7162069557755464,0.003075295346026463,0.216272925666543
cultural_contact,social_connectedness,文化接触,社会联结感,0.7157466821843194,0.0026150217547994403,0.1914539823700542
cultural_maintenance,social_maintenance,文化保持,社会保持,0.7153872993530092,0.0022556389234892338,-0.15453959452751556
family_support,months_in_hk,家庭支持,来港时长,0.715326919939973,0.0021952595104530737,-0.24135742090457785
cultural_maintenance,social_contact,文化保持,社会接触,0.7153059147478411,0.0021742543183211893,-0.20356545534812964
social_connectedness,openness,社会联结感,开放性,0.7151846228055103,0.002052962375990397,0.24238250232044103
social_contact,family_support,社会接触,家庭支持,0.7150449713173703,0.0019133108878504057,-0.17832091741322373
cultural_contact,autonomy,文化接触,自主权,0.7148149904459327,0.001683330016412743,-0.16391260043704436
social_connectedness,months_in_hk,社会联结感,来港时长,0.7148128490538276,0.0016811886243076613,-0.17832124045745906
communication_honesty,social_connectedness,沟通坦诚度,社会联结感,0.7142722104545014,0.0011405500249814793,-0.1188748863733338
cultural_contact,family_support,文化接触,家庭支持,0.7142517161254212,0.0011200556959012342,-0.13387589406780637
cultural_maintenance,cultural_contact,文化保持,文化接触,0.7142165753789045,0.0010849149493845633,-0.1169605314587589
autonomy,social_connectedness,自主权,社会联结感,0.7139052514846702,0.0007735910551502911,-0.09566930735791693
cultural_maintenance,family_support,文化保持,家庭支持,0.7137909157013678,0.0006592552718478473,-0.07931044221616362
cultural_contact,social_contact,文化接触,社会接触,0.7137287368054489,0.0005970763759289843,0.08242076224405212
social_maintenance,social_connectedness,社会保持,社会联结感,0.7136571055658507,0.0005254451363307933,0.07974663942644869
autonomy,months_in_hk,自主权,来港时长,0.7136215907829544,0.0004899303534344757,0.1235510700375161
social_maintenance,months_in_hk,社会保持,来港时长,0.7135987685333671,0.00046710810384720247,-0.13326355990537841
cultural_maintenance,family_communication_frequency,文化保持,家庭沟通频率,0.7134711455740933,0.0003394851445733815,-0.07921419945530672
cultural_maintenance,communication_honesty,文化保持,沟通坦诚度,0.7133283575148639,0.00019669708534397756,-0.046393940175040754
social_maintenance,communication_honesty,社会保持,沟通坦诚度,0.7133095197683269,0.0001778593388069849,-0.04739810281717233
communication_honesty,openness,沟通坦诚度,开放性,0.7133037394168753,0.00017207898735538407,-0.06119452324118124
social_maintenance,cultural_contact,社会保持,文化接触,0.7132607415882111,0.00012908115869114667,0.04338811968866353
family_support,family_communication_frequency,家庭支持,家庭沟通频率,0.7132243953912538,9.273496173389795e-05,0.03669412389198165
family_communication_frequency,social_connectedness,家庭沟通频率,社会联结感,0.7131654376641775,3.3777234657583755e-05,0.024764287261713952
social_maintenance,family_communication_frequency,社会保持,家庭沟通频率,0.7131617372665362,3.0076837016279612e-05,0.023860839676051862
social_maintenance,social_contact,社会保持,社会接触,0.7131317044233023,4.3993782394835534e-08,0.0008473553480107462
